First Name, Last Name, Email, Segment, Company, Phone, Address
Jeanne,Robel,bruce46@example.net,asdf,Mitchell-Nolan,604-715-1236 x073,5617 Halvorson Row Suite 312 New Caroleport  SC 99961-8596
Emerald,Hoeger,jblock@example.com,asdf,Treutel-Boyer,+1-285-664-2038,91129 Bennett Inlet Suite 387 Lake Izaiah  VA 74950-2218
Marlene,Kiehn,lkuphal@example.net,asdf,Skiles-Kiehn,+1-519-618-1571,5026 Ora Falls Suite 918 New Sharonmouth  MI 98590
Calista,Johnson,uheathcote@example.net,asdf,O'Conner and Sons,+1-987-850-8408,734 Ruth Road East Osborneshire  WY 48413
Imelda,Rohan,christiansen.abdiel@example.com,asdf,Williamson-Hills,+14324957525,74742 Keebler Prairie South Keeley  KY 98989
Margarette,Turner,nettie80@example.net,asdf,Flatley Group,1-602-537-8979,1981 Valentin Plains Suite 387 Gerdaside  AR 03020
Chelsea,Stamm,maryam76@example.net,asdf,Wilderman-Stroman,+1-782-430-5823,789 Becker Run New Cara  MS 71046-9143
Mack,Kirlin,fadel.mireille@example.net,asdf,Hermann Group,+1.262.418.6010,625 Haag Brooks Port Karinahaven  MD 36747
Bo,Miller,christiansen.ernestine@example.net,asdf,Robel-Hand,1-841-898-6853 x718,82101 Lowe Forest Suite 491 West Bo  ID 08407
Leonor,Hilll,billy36@example.net,asdf,Terry Ltd,(956) 793-7591 x4478,19813 Angela Walks Suite 990 New Bart  MS 46987-4710
Marcelle,Fisher,fbahringer@example.org,asdf,Stiedemann-Bednar,1-712-908-6682,881 Norma Spring Port Faye  KY 44658-4296
Alva,Funk,dach.carey@example.org,asdf,Parisian-Strosin,636-420-2467,85491 Autumn Via Apt. 527 Elliston  AK 58805-0942
Dayne,Runolfsson,owiza@example.com,asdf,Vandervort  Jenkins and Bauch,1-437-722-1754 x97807,460 Myrl Way Suite 846 Lake Trevorport  CO 65420-5823
Austyn,Carroll,loy77@example.com,asdf,O'Hara and Sons,+1 (539) 932-5062,3672 Cristina Orchard Suite 002 Beerside  MN 88218-9740
Jazlyn,Jacobson,bode.virgil@example.net,asdf,Hackett-Gibson,1-598-415-2727,218 Bednar Gateway Suite 655 East Urbanton  PA 01930-3253
Rafael,Hammes,sawayn.fanny@example.net,asdf,Zboncak  Walker and Legros,481.901.4617 x3994,7587 Prosacco Tunnel Suite 769 Mohrmouth  NM 70947-1045
Maria,Koss,ymonahan@example.com,asdf,Hintz Ltd,487.485.7350 x6409,57136 Blaze Crest Robelberg  TX 73683
Oliver,Adams,lesch.maurine@example.com,asdf,Huels and Sons,1-864-760-2004 x24357,5811 Ayden Villages Suite 612 Port Adeliamouth  IA 80914
Sabryna,Stamm,trent93@example.net,asdf,Schultz Group,325-336-8702 x73679,85579 Mitchell Alley West Kennedi  PA 05011
Mariane,Thompson,wintheiser.scot@example.org,asdf,McLaughlin Inc,+1-309-793-0570,35195 Tamara River Lake Lazaroborough  NC 15885-1365
